,Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
2715,8.0,13.0,5,Laptop & Accessory,4,Married,8,0,1.0,170.05,0
1801,4.0,35.0,4,Laptop & Accessory,2,Divorced,3,0,10.0,182.75,0
1503,2.0,35.0,5,Laptop & Accessory,3,Married,9,0,6.0,163.84,0
1837,19.0,6.0,3,Others,1,Married,10,0,2.0,296.27,0
2924,4.0,8.0,4,Laptop & Accessory,5,Married,4,0,0.0,164.1,0
2134,20.0,10.0,4,Grocery,3,Divorced,5,0,10.0,299.65,0
1151,9.0,15.0,4,Mobile Phone,3,Single,3,0,5.0,168.23,0
1479,0.0,16.0,4,Mobile Phone,3,Single,2,0,0.0,112.0,0
1790,19.0,9.0,4,Laptop & Accessory,3,Married,6,0,8.0,176.54,0
2904,2.0,15.0,4,Mobile Phone,2,Single,1,0,2.0,139.83,0
880,12.0,9.0,2,Laptop & Accessory,4,Divorced,10,0,6.0,163.89,0
2714,1.0,9.0,5,Mobile Phone,2,Single,9,0,1.0,152.85,1
3398,20.0,29.0,3,Fashion,2,Divorced,2,0,6.0,203.12,1
472,12.0,24.0,3,Laptop & Accessory,3,Single,1,0,7.0,145.34,0
2171,19.0,6.0,1,Grocery,5,Single,2,0,12.0,275.67,0
1042,21.0,16.0,4,Others,4,Married,5,0,9.0,296.65,0
1897,16.0,35.0,5,Laptop & Accessory,2,Divorced,2,0,5.0,170.23,0
159,2.0,26.0,3,Mobile Phone,1,Married,2,0,10.0,138.12,0
835,14.0,8.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,0
2432,15.0,10.0,3,Others,2,Divorced,2,0,15.0,292.32,0
2179,16.0,12.0,4,Others,3,Married,8,0,14.0,293.92,0
702,9.0,9.0,4,Fashion,1,Married,5,0,12.0,196.99,0
2246,25.0,21.0,4,Laptop & Accessory,2,Divorced,6,0,8.0,174.36,0
1603,4.0,29.0,5,Laptop & Accessory,3,Married,4,1,1.0,188.8,1
3020,9.0,11.0,4,Mobile Phone,5,Married,10,1,0.0,134.19,0
1386,20.0,10.0,4,Grocery,4,Divorced,10,0,2.0,291.06,0
246,1.0,16.0,4,Mobile Phone,4,Single,3,0,4.0,147.79,0
1133,15.0,8.0,4,Laptop & Accessory,2,Single,4,0,0.0,167.81,0
1306,28.0,27.0,4,Laptop & Accessory,3,Single,5,0,4.0,173.69,0
1870,3.0,35.0,3,Laptop & Accessory,5,Married,9,0,3.0,141.15,0
265,4.0,8.0,3,Mobile Phone,3,Married,1,0,2.0,130.67,0
1121,24.0,11.0,3,Grocery,4,Married,2,1,10.0,240.26,0
867,23.0,6.0,3,Others,4,Married,4,1,7.0,281.72,0
2903,,10.0,4,Mobile Phone,5,Married,2,0,0.0,121.09,0
1769,10.0,10.0,4,Laptop & Accessory,4,Single,6,0,8.0,169.85,0
1871,3.0,30.0,2,Mobile Phone,3,Married,3,0,8.0,152.0,0
2138,31.0,14.0,2,Laptop & Accessory,2,Married,2,1,10.0,177.2,0
346,25.0,7.0,4,Mobile Phone,2,Divorced,3,0,1.0,152.23,0
2077,11.0,15.0,4,Laptop & Accessory,4,Married,4,0,8.0,165.71,0
779,1.0,12.0,2,Mobile Phone,4,Married,3,1,3.0,148.28,0
3810,15.0,16.0,3,Grocery,5,Married,1,0,9.0,267.99,0
492,24.0,9.0,3,Fashion,3,Married,3,0,,231.16000000000005,0
3278,11.0,34.0,2,Laptop & Accessory,3,Single,6,1,4.0,188.97,1
2957,0.0,12.0,3,Mobile Phone,3,Divorced,1,0,2.0,127.73,0
3232,18.0,7.0,3,Fashion,4,Married,2,0,7.0,174.41,0
816,10.0,16.0,2,Mobile Phone,4,Married,3,0,3.0,153.1,0
3284,14.0,7.0,4,Grocery,5,Married,4,0,17.0,293.23,0
2417,19.0,7.0,3,Mobile Phone,5,Single,7,0,7.0,134.23,0
3033,23.0,14.0,5,Fashion,3,Single,10,0,1.0,234.65,0
1775,0.0,33.0,3,Fashion,1,Married,2,0,9.0,176.39,1
3889,31.0,36.0,5,Grocery,2,Married,5,0,1.0,266.18,0
1139,14.0,9.0,4,Others,3,Married,2,0,13.0,305.41,0
2430,19.0,9.0,4,Others,5,Divorced,7,1,5.0,323.59,1
2621,0.0,29.0,3,Mobile Phone,2,Married,2,0,2.0,128.86,0
3462,,12.0,1,Mobile Phone,5,Divorced,2,1,0.0,116.01,1
1445,19.0,7.0,4,Mobile Phone,1,Married,5,0,3.0,147.7,0
646,5.0,,3,Mobile Phone,4,Divorced,2,0,7.0,123.7,0
353,0.0,9.0,3,Mobile Phone,5,Single,1,0,4.0,131.02,1
2343,2.0,29.0,3,Mobile Phone,5,Single,1,0,3.0,139.04,1
1573,,17.0,3,Mobile Phone,5,Married,1,0,4.0,120.99,0
1018,25.0,6.0,3,Grocery,2,Divorced,3,0,8.0,270.99,0
3300,6.0,13.0,3,Laptop & Accessory,5,Divorced,1,0,3.0,143.73,0
1387,11.0,28.0,3,Mobile Phone,5,Divorced,3,1,8.0,160.64,0
946,,14.0,5,Mobile Phone,5,Divorced,2,1,7.0,121.19,1
3541,24.0,15.0,4,Mobile Phone,4,Married,9,0,3.0,163.75,0
653,9.0,8.0,4,Fashion,3,Married,2,0,0.0,175.96,0
3849,8.0,9.0,2,Mobile Phone,1,Married,2,1,3.0,154.32,0
454,1.0,7.0,4,Mobile Phone,3,Single,2,0,6.0,145.58,1
636,0.0,23.0,4,Laptop & Accessory,3,Married,2,0,2.0,143.77,0
2823,10.0,25.0,3,Mobile Phone,2,Divorced,6,0,1.0,161.88,0
2357,25.0,14.0,3,Mobile Phone,5,Divorced,10,0,4.0,129.5,0
3871,7.0,,1,Mobile Phone,3,Married,1,0,0.0,125.85,0
3680,1.0,11.0,4,Mobile Phone,2,Divorced,3,1,7.0,161.91,1
3251,,14.0,1,Mobile Phone,4,Single,10,0,2.0,121.09,0
1180,7.0,9.0,3,Laptop & Accessory,1,Single,1,0,4.0,177.56,0
3922,1.0,11.0,4,Mobile Phone,1,Single,3,1,3.0,153.75,0
360,0.0,,5,Mobile Phone,3,Married,1,0,0.0,123.51,1
632,3.0,31.0,3,Laptop & Accessory,3,Divorced,8,1,2.0,147.36,0
1167,3.0,28.0,2,Fashion,5,Married,3,0,,224.8,0
2099,0.0,29.0,4,Laptop & Accessory,3,Divorced,4,1,1.0,159.16,1
2742,0.0,,4,Mobile Phone,4,Married,2,1,0.0,124.13,1
57,0.0,,4,Mobile Phone,4,Married,2,0,3.0,123.68,0
2121,16.0,9.0,4,Mobile Phone,3,Married,2,1,1.0,151.96,0
2062,1.0,9.0,5,Mobile Phone,2,Single,3,0,1.0,150.64,1
2726,13.0,16.0,4,Laptop & Accessory,4,Married,8,0,3.0,168.52,0
3391,28.0,24.0,4,Fashion,3,Divorced,10,0,9.0,232.39,0
3531,31.0,9.0,5,Grocery,1,Single,5,1,4.0,262.26,0
1971,8.0,24.0,1,Laptop & Accessory,5,Married,2,0,10.0,152.08,0
3371,1.0,11.0,4,Laptop & Accessory,3,Divorced,3,1,4.0,166.62,0
1358,29.0,25.0,4,Grocery,4,Single,5,0,8.0,293.35,0
1738,24.0,18.0,4,Others,4,Single,5,0,5.0,324.26,0
1303,1.0,10.0,5,Mobile Phone,3,Single,3,0,1.0,157.3,0
579,10.0,25.0,4,Mobile Phone,1,Single,3,0,8.0,146.53,0
735,10.0,10.0,4,Laptop & Accessory,4,Single,5,1,,217.78,0
1827,2.0,8.0,5,Mobile Phone,3,Married,3,0,1.0,140.63,0
433,2.0,9.0,3,Laptop & Accessory,3,Divorced,2,0,2.0,155.61,0
1142,3.0,21.0,4,Fashion,5,Married,3,0,7.0,171.4,0
669,23.0,34.0,3,Grocery,5,Married,5,1,2.0,268.8,0
2258,4.0,12.0,5,Laptop & Accessory,3,Married,3,0,3.0,186.18,0
1529,23.0,34.0,3,Grocery,5,Divorced,5,1,2.0,268.8,0
1346,1.0,31.0,5,Fashion,5,Single,3,0,,212.22,1
1223,7.0,15.0,4,Laptop & Accessory,5,Married,4,0,3.0,188.92,0
1046,30.0,18.0,5,Laptop & Accessory,5,Married,6,0,1.0,178.8,0
640,0.0,6.0,4,Mobile Phone,3,Single,1,1,2.0,137.3,1
1599,1.0,14.0,4,Mobile Phone,1,Married,3,1,3.0,147.75,1
570,1.0,7.0,5,Mobile Phone,3,Married,3,0,4.0,145.07,0
3415,1.0,33.0,4,Laptop & Accessory,1,Single,3,0,5.0,186.8,0
2193,1.0,7.0,4,Mobile Phone,2,Single,3,0,1.0,141.11,0
1039,2.0,6.0,3,Fashion,1,Married,2,0,1.0,179.18,0
1584,1.0,28.0,2,Mobile Phone,1,Single,3,0,3.0,151.78,0
1498,16.0,15.0,4,Others,1,Married,3,0,10.0,309.3,0
3550,16.0,31.0,4,Fashion,2,Married,6,0,0.0,234.0,0
3916,0.0,24.0,3,Mobile Phone,1,Single,2,0,0.0,126.93,1
1948,5.0,7.0,5,Mobile Phone,5,Divorced,3,0,3.0,147.18,0
449,51.0,7.0,2,Laptop & Accessory,3,Divorced,2,0,9.0,174.0,0
523,10.0,20.0,4,Mobile Phone,4,Divorced,5,0,5.0,146.43,0
1149,11.0,8.0,6,Laptop & Accessory,1,Married,3,0,,220.25,0
608,6.0,19.0,3,Mobile Phone,2,Single,4,0,2.0,134.52,0
3537,24.0,7.0,4,Laptop & Accessory,3,Divorced,2,0,14.0,188.47,0
671,5.0,25.0,2,Mobile Phone,3,Married,7,1,2.0,127.59,1
2752,12.0,8.0,4,Mobile Phone,4,Married,2,1,3.0,154.91,0
1994,1.0,7.0,4,Mobile Phone,4,Single,3,1,5.0,157.02,1
3082,11.0,26.0,4,Mobile Phone,4,Married,6,0,1.0,155.22,0
1542,23.0,6.0,3,Others,2,Married,4,0,6.0,295.17,0
2882,22.0,7.0,2,Grocery,2,Single,4,0,2.0,293.85,0
650,0.0,24.0,1,Laptop & Accessory,3,Married,3,0,2.0,162.32,0
1640,10.0,8.0,4,Laptop & Accessory,1,Married,6,0,0.0,151.63,0
494,1.0,25.0,2,Laptop & Accessory,3,Married,4,0,3.0,187.32,0
1424,8.0,22.0,3,Fashion,4,Divorced,1,0,9.0,180.2,0
3269,2.0,34.0,6,Laptop & Accessory,5,Married,2,0,1.0,25.0,0
3833,0.0,6.0,3,Mobile Phone,3,Divorced,4,0,2.0,129.09,1
2578,16.0,13.0,3,Fashion,5,Divorced,9,0,0.0,199.85,0
2378,8.0,17.0,4,Mobile Phone,3,Married,3,1,1.0,147.2,0
2548,0.0,35.0,3,Laptop & Accessory,3,Married,6,0,0.0,143.06,0
889,0.0,,4,Mobile Phone,1,Single,2,1,1.0,123.89,1
1719,9.0,7.0,5,Laptop & Accessory,2,Divorced,2,0,1.0,178.63,0
546,,30.0,4,Mobile Phone,3,Single,6,1,3.0,120.28,1
2468,22.0,9.0,2,Mobile Phone,4,Single,7,0,1.0,150.59,0
49,0.0,6.0,3,Laptop & Accessory,3,Divorced,2,0,7.0,152.96,0
891,17.0,13.0,4,Fashion,1,Married,4,0,17.0,202.48,0
1119,,11.0,3,Laptop & Accessory,1,Married,4,0,0.0,120.86,1
748,0.0,,3,Mobile Phone,1,Single,2,0,4.0,126.47,0
3145,14.0,9.0,2,Laptop & Accessory,4,Divorced,3,0,8.0,167.44,0
1995,1.0,6.0,5,Laptop & Accessory,2,Divorced,1,0,5.0,166.74,0
2805,21.0,6.0,4,Grocery,5,Divorced,8,0,2.0,254.02,0
1941,1.0,9.0,5,Laptop & Accessory,4,Single,9,1,,224.07,1
3399,11.0,16.0,5,Fashion,3,Married,4,0,11.0,232.06,0
2632,6.0,20.0,5,Mobile Phone,4,Married,3,0,3.0,159.0,0
3215,0.0,22.0,3,Mobile Phone,4,Divorced,10,0,2.0,128.11,0
3028,1.0,10.0,4,Laptop & Accessory,3,Divorced,2,1,3.0,166.71,1
1689,15.0,19.0,1,Laptop & Accessory,5,Married,6,0,0.0,155.38,0
2541,1.0,17.0,2,Mobile Phone,3,Single,3,0,3.0,160.05,0
2633,0.0,7.0,5,Laptop & Accessory,4,Single,7,0,0.0,167.35,1
1253,1.0,7.0,4,Mobile Phone,4,Married,3,0,5.0,163.16,0
1269,10.0,24.0,5,Laptop & Accessory,4,Married,4,0,4.0,180.07,0
2649,2.0,23.0,4,Mobile Phone,3,Single,3,0,5.0,146.44,0
1882,0.0,24.0,1,Mobile Phone,5,Married,1,0,0.0,129.56,1
3528,13.0,8.0,3,Others,3,Divorced,1,0,12.0,280.41,0
1958,29.0,15.0,5,Grocery,4,Married,3,1,1.0,260.77,0
302,8.0,,4,Mobile Phone,1,Married,2,0,2.0,123.76,0
1532,1.0,16.0,4,Laptop & Accessory,5,Single,2,1,4.0,207.24,1
3807,18.0,31.0,6,Mobile Phone,3,Single,4,0,5.0,162.08,0
996,28.0,14.0,4,Laptop & Accessory,1,Married,6,0,8.0,193.54,0
2118,8.0,7.0,2,Mobile Phone,1,Single,4,0,4.0,157.8,0
2112,1.0,9.0,4,Mobile Phone,4,Married,11,0,3.0,159.68,0
3485,,6.0,3,Mobile Phone,4,Single,2,1,2.0,123.02,1
2413,13.0,12.0,3,Grocery,1,Single,2,1,7.0,264.37,0
355,13.0,8.0,3,Laptop & Accessory,4,Married,4,0,10.0,156.77,0
3649,22.0,9.0,2,Laptop & Accessory,4,Married,5,0,3.0,206.2,0
665,11.0,7.0,5,Mobile Phone,5,Married,4,0,3.0,164.2,0
1455,10.0,25.0,4,Laptop & Accessory,1,Single,4,0,10.0,202.79,0
3509,19.0,10.0,4,Others,4,Married,3,0,8.0,287.89,0
694,8.0,28.0,5,Mobile Phone,3,Single,1,0,3.0,142.3,0
1612,1.0,9.0,5,Mobile Phone,3,Single,3,0,3.0,145.44,1
3109,18.0,10.0,3,Laptop & Accessory,4,Divorced,2,0,8.0,144.47,0
1530,9.0,9.0,3,Laptop & Accessory,4,Single,4,1,1.0,192.78,0
1243,29.0,15.0,3,Mobile Phone,3,Married,3,0,3.0,129.42,0
3851,3.0,,3,Mobile Phone,4,Divorced,2,0,0.0,124.76,0
1826,17.0,22.0,5,Laptop & Accessory,2,Divorced,5,0,3.0,193.04,0
2978,13.0,25.0,3,Laptop & Accessory,2,Divorced,9,1,7.0,127.41,0
2627,1.0,9.0,2,Laptop & Accessory,2,Divorced,3,0,4.0,179.72,0
2044,10.0,7.0,4,Laptop & Accessory,4,Divorced,2,0,6.0,177.28,0
819,31.0,14.0,4,Others,5,Married,7,0,11.0,320.66,0
3605,1.0,22.0,4,Fashion,3,Divorced,9,1,8.0,261.1,1
142,5.0,25.0,1,Mobile Phone,3,Married,7,1,2.0,127.59,1
821,4.0,9.0,5,Laptop & Accessory,1,Single,7,1,1.0,193.77,0
2646,0.0,10.0,3,Fashion,5,Single,1,1,7.0,195.82,1
2498,10.0,10.0,3,Mobile Phone,2,Married,5,0,8.0,0.0,0
743,7.0,7.0,5,Mobile Phone,5,Single,5,1,3.0,152.99,0
3818,9.0,16.0,3,Fashion,4,Married,6,0,7.0,173.14,1
2047,29.0,21.0,3,Others,4,Single,10,0,16.0,312.22,0
3516,12.0,13.0,4,Others,1,Married,2,0,3.0,292.72,0
1505,0.0,25.0,3,Mobile Phone,1,Married,4,0,2.0,136.69,0
1894,14.0,12.0,3,Fashion,2,Single,4,1,0.0,235.91000000000005,0
1898,11.0,7.0,4,Fashion,1,Single,6,0,3.0,199.91,0
637,8.0,9.0,3,Fashion,2,Married,7,0,8.0,178.23,0
413,,7.0,3,Mobile Phone,3,Married,2,0,1.0,112.23,0
3118,11.0,6.0,1,Laptop & Accessory,1,Single,1,0,8.0,176.25,0
3762,11.0,20.0,4,Laptop & Accessory,1,Married,3,0,8.0,167.85,0
2776,28.0,8.0,4,Grocery,5,Single,8,0,2.0,267.56,0
1459,0.0,15.0,3,Laptop & Accessory,1,Single,2,0,7.0,141.05,0
2127,29.0,27.0,4,Laptop & Accessory,1,Married,5,1,9.0,179.15,0
512,9.0,23.0,4,Laptop & Accessory,4,Married,3,0,3.0,155.07,0
348,21.0,9.0,4,Grocery,1,Married,3,1,1.0,292.52,0
2385,23.0,6.0,3,Others,1,Married,4,0,6.0,295.17,0
2832,4.0,29.0,4,Fashion,5,Married,2,0,9.0,209.12,0
815,1.0,25.0,4,Mobile Phone,5,Divorced,2,0,3.0,131.96,0
1933,0.0,,4,Mobile Phone,5,Single,1,1,2.0,123.21,1
308,1.0,32.0,4,Laptop & Accessory,5,Married,2,0,4.0,147.24,0
3100,14.0,33.0,4,Laptop & Accessory,5,Divorced,3,0,6.0,208.96,0
3768,,32.0,4,Mobile Phone,3,Married,2,0,0.0,120.29,0
688,14.0,27.0,4,Fashion,2,Divorced,6,0,,228.22,0
1241,17.0,,3,Mobile Phone,1,Single,7,1,2.0,124.36,0
2169,22.0,8.0,3,Others,1,Married,4,0,3.0,291.61,0
1925,3.0,13.0,4,Mobile Phone,1,Married,3,0,9.0,156.31,0
2819,24.0,24.0,5,Fashion,5,Married,7,0,12.0,257.69,0
1930,23.0,6.0,4,Mobile Phone,3,Married,3,0,2.0,136.9,0
85,,6.0,3,Mobile Phone,1,Married,4,0,2.0,122.7,0
2756,,15.0,3,Mobile Phone,4,Married,7,0,2.0,120.24,0
977,15.0,,3,Mobile Phone,5,Married,4,0,2.0,125.76,0
999,9.0,15.0,2,Mobile Phone,1,Married,3,0,2.0,147.69,0
874,12.0,8.0,5,Mobile Phone,5,Single,6,0,1.0,153.58,0
3826,23.0,6.0,3,Grocery,1,Married,10,0,3.0,273.99,0
2981,27.0,20.0,3,Laptop & Accessory,5,Married,3,0,4.0,169.5,0
3071,2.0,9.0,4,Laptop & Accessory,4,Married,6,0,5.0,173.55,1
2264,5.0,19.0,4,Others,3,Married,3,0,9.0,320.45,1
295,15.0,14.0,6,Others,3,Married,3,0,11.0,324.73,0
2345,7.0,7.0,2,Laptop & Accessory,5,Married,3,0,9.0,165.37,0
1767,15.0,14.0,3,Others,2,Married,2,0,9.0,284.3,0
623,12.0,9.0,4,Fashion,4,Single,9,0,1.0,198.51,0
2936,13.0,8.0,4,Mobile Phone,3,Single,3,0,2.0,128.09,0
951,,16.0,4,Mobile Phone,5,Single,2,0,0.0,114.16,1
3561,29.0,29.0,3,Grocery,4,Divorced,5,1,9.0,234.02,0
2181,8.0,15.0,2,Laptop & Accessory,3,Married,4,0,3.0,169.04,0
1148,9.0,14.0,1,Fashion,5,Married,10,0,,217.13,0
1137,11.0,6.0,1,Mobile Phone,3,Divorced,2,0,0.0,128.44,0
2594,1.0,30.0,5,Laptop & Accessory,3,Married,5,1,2.0,184.16,1
1698,3.0,13.0,4,Mobile Phone,2,Divorced,3,0,9.0,156.31,0
854,11.0,23.0,5,Laptop & Accessory,3,Married,6,0,1.0,188.34,0
3121,27.0,15.0,3,Laptop & Accessory,3,Married,4,0,3.0,128.97,0
1041,16.0,12.0,4,Laptop & Accessory,3,Single,2,1,8.0,140.81,0
1768,28.0,8.0,3,Grocery,2,Single,3,1,2.0,266.59,0
18,19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96,0
506,16.0,33.0,3,Fashion,5,Divorced,9,0,1.0,208.2,0
1178,1.0,31.0,4,Mobile Phone,4,Married,3,1,1.0,149.08,1
1567,2.0,14.0,4,Laptop & Accessory,2,Divorced,2,1,2.0,150.56,0
2608,11.0,7.0,4,Mobile Phone,1,Single,3,0,8.0,146.15,0
3602,0.0,32.0,3,Mobile Phone,1,Married,2,0,2.0,129.04,0
1630,6.0,10.0,4,Mobile Phone,4,Married,9,0,2.0,138.38,0
2596,2.0,14.0,4,Laptop & Accessory,1,Married,2,1,2.0,150.56,0
1886,11.0,14.0,4,Fashion,3,Single,6,0,3.0,261.64,0
2165,5.0,9.0,6,Mobile Phone,1,Married,3,1,1.0,136.29,0
1966,17.0,13.0,5,Grocery,2,Married,6,1,1.0,291.27,0
2595,13.0,26.0,3,Fashion,1,Married,5,0,1.0,203.22,0
2483,22.0,9.0,4,Laptop & Accessory,5,Married,5,0,2.0,147.89,0
3929,6.0,11.0,4,Fashion,1,Married,5,0,2.0,171.19,0
1050,11.0,32.0,5,Laptop & Accessory,1,Married,9,0,4.0,182.31,0
3041,8.0,6.0,3,Fashion,3,Single,2,0,8.0,187.89,0
367,17.0,35.0,2,Mobile Phone,3,Single,6,0,3.0,172.39,0
3260,1.0,11.0,5,Mobile Phone,2,Divorced,2,0,5.0,156.62,0
2354,7.0,,3,Mobile Phone,5,Married,5,0,2.0,123.62,1
3077,1.0,7.0,4,Mobile Phone,2,Divorced,4,1,1.0,147.93,1
3928,19.0,8.0,3,Laptop & Accessory,1,Married,3,0,4.0,173.79,0
1631,29.0,9.0,4,Grocery,1,Single,4,1,3.0,291.59,0
3498,8.0,27.0,3,Laptop & Accessory,1,Married,2,1,7.0,140.14,0
350,,31.0,5,Mobile Phone,3,Single,2,0,1.0,122.93,1
1025,5.0,9.0,4,Mobile Phone,2,Married,2,1,3.0,151.95,0
1651,19.0,20.0,3,Mobile Phone,4,Married,10,1,3.0,149.63,1
773,9.0,17.0,4,Laptop & Accessory,3,Single,5,1,5.0,186.42,0
2618,6.0,9.0,4,Laptop & Accessory,4,Married,2,0,7.0,179.7,0
3190,3.0,33.0,3,Laptop & Accessory,1,Married,8,0,7.0,153.04,0
114,21.0,10.0,4,Grocery,3,Married,11,1,14.0,262.7,0
1697,20.0,7.0,5,Fashion,5,Married,4,1,6.0,231.73,0
1311,1.0,15.0,5,Mobile Phone,3,Single,3,1,3.0,164.89,1
1200,5.0,14.0,4,Fashion,2,Single,3,1,11.0,196.43,0
2106,4.0,32.0,4,Laptop & Accessory,3,Divorced,9,1,3.0,172.36,0
1283,1.0,27.0,4,Laptop & Accessory,3,Single,2,0,3.0,147.72,0
1263,15.0,8.0,3,Grocery,3,Married,1,1,10.0,278.61,0
86,11.0,22.0,3,Laptop & Accessory,4,Single,3,0,2.0,141.98,0
2545,14.0,12.0,5,Fashion,5,Married,7,1,,229.75,0
692,1.0,15.0,3,Laptop & Accessory,2,Single,2,0,7.0,152.53,0
1055,4.0,7.0,5,Fashion,3,Single,3,0,,209.74,0
130,26.0,9.0,5,Mobile Phone,2,Single,9,0,3.0,157.12,0
2977,6.0,7.0,5,Mobile Phone,4,Divorced,8,0,3.0,148.32,0
1476,11.0,10.0,4,Laptop & Accessory,4,Single,5,0,2.0,166.07,0
926,30.0,35.0,4,Grocery,2,Married,4,0,0.0,241.18,0
2369,0.0,,5,Mobile Phone,5,Married,2,0,1.0,124.51,0
312,7.0,9.0,4,Mobile Phone,2,Single,2,0,3.0,150.0,0
390,1.0,10.0,4,Mobile Phone,5,Single,2,0,5.0,156.02,1
152,26.0,7.0,4,Grocery,3,Married,5,1,,229.65,0
1451,0.0,20.0,4,Mobile Phone,4,Married,2,1,2.0,137.43,1
2406,14.0,26.0,4,Laptop & Accessory,1,Married,10,1,8.0,152.41,0
435,11.0,7.0,4,Fashion,1,Married,4,1,3.0,261.03,0
508,17.0,17.0,5,Laptop & Accessory,3,Married,3,0,1.0,177.57,0
1274,29.0,9.0,5,Others,5,Married,10,0,1.0,315.38,0
3064,9.0,17.0,4,Mobile Phone,2,Married,3,0,3.0,164.17,0
2091,13.0,18.0,4,Fashion,2,Divorced,3,0,8.0,201.54,1
1275,13.0,,4,Mobile Phone,1,Single,1,1,3.0,123.42,0
3062,2.0,8.0,3,Mobile Phone,4,Divorced,1,0,2.0,131.8,0
2786,26.0,6.0,3,Laptop & Accessory,5,Single,8,0,10.0,183.81,0
1417,6.0,7.0,4,Fashion,1,Married,3,0,,229.22,0
1309,6.0,20.0,5,Mobile Phone,4,Divorced,3,0,3.0,152.43,0
1635,19.0,14.0,4,Laptop & Accessory,5,Married,9,1,7.0,146.15,0
1777,7.0,7.0,4,Laptop & Accessory,5,Single,1,0,9.0,153.43,0
279,6.0,9.0,4,Laptop & Accessory,3,Single,6,1,8.0,174.98,0
501,7.0,9.0,4,Mobile Phone,1,Single,2,0,3.0,150.0,0
1563,12.0,30.0,5,Fashion,3,Single,2,0,,220.26,0
1298,1.0,12.0,4,Mobile Phone,3,Single,3,1,1.0,153.51,1
715,7.0,14.0,4,Laptop & Accessory,3,Married,3,0,9.0,184.68,0
1728,18.0,35.0,3,Fashion,1,Divorced,5,1,2.0,193.8,0
2116,24.0,9.0,4,Grocery,3,Married,7,0,4.0,301.39,0
1471,,9.0,3,Mobile Phone,1,Married,5,0,4.0,120.97,0
1537,10.0,17.0,5,Laptop & Accessory,3,Married,3,1,8.0,181.73,0
2743,17.0,16.0,4,Mobile Phone,3,Single,6,0,3.0,149.38,0
2569,2.0,6.0,3,Fashion,2,Divorced,2,0,1.0,179.18,0
1103,9.0,10.0,4,Fashion,1,Married,8,0,9.0,203.23,0
119,5.0,14.0,5,Mobile Phone,3,Married,5,0,3.0,148.29,0
1066,11.0,26.0,4,Laptop & Accessory,3,Married,5,0,3.0,182.68,0
1762,0.0,,5,Mobile Phone,1,Single,2,1,0.0,123.4,1
285,7.0,9.0,4,Laptop & Accessory,1,Married,3,0,5.0,180.05,0
1986,2.0,14.0,4,Laptop & Accessory,5,Single,2,0,4.0,173.98,0
1395,0.0,6.0,5,Laptop & Accessory,4,Single,7,0,0.0,167.35,1
2926,1.0,16.0,4,Mobile Phone,5,Married,3,0,1.0,142.9,1
1007,17.0,14.0,1,Mobile Phone,2,Divorced,3,1,2.0,128.18,0
3761,0.0,16.0,1,Mobile Phone,3,Single,2,0,2.0,135.05,0
1524,22.0,24.0,4,Others,3,Married,2,1,9.0,295.02,0
2796,10.0,12.0,4,Fashion,5,Married,6,0,3.0,205.08,0
2140,30.0,9.0,4,Laptop & Accessory,2,Single,6,0,5.0,151.71,0
157,1.0,12.0,4,Mobile Phone,4,Single,3,1,3.0,149.78,0
309,16.0,12.0,4,Mobile Phone,3,Married,6,0,1.0,145.93,0
2389,4.0,15.0,3,Fashion,4,Married,2,0,8.0,206.48,0
3250,4.0,9.0,3,Fashion,3,Married,10,0,2.0,236.75,0
1796,13.0,15.0,4,Mobile Phone,3,Married,3,0,8.0,162.55,0
3637,26.0,10.0,5,Fashion,3,Married,4,1,5.0,204.69,0
2792,2.0,22.0,4,Mobile Phone,3,Married,3,0,3.0,147.07,0
1384,25.0,13.0,3,Fashion,4,Single,8,0,0.0,204.45,0
3150,9.0,14.0,4,Mobile Phone,3,Divorced,3,0,1.0,149.04,0
594,16.0,8.0,3,Mobile Phone,1,Single,1,0,8.0,135.39,0
2404,26.0,9.0,5,Mobile Phone,1,Single,9,0,3.0,157.12,0
3279,19.0,13.0,3,Fashion,3,Married,7,0,7.0,208.45,0
3358,14.0,7.0,4,Laptop & Accessory,3,Married,9,0,2.0,192.28,1
1375,20.0,31.0,3,Fashion,3,Single,3,0,11.0,186.33,0
1874,,29.0,3,Laptop & Accessory,4,Married,5,0,2.0,120.42,0
1734,26.0,36.0,4,Mobile Phone,1,Married,4,0,1.0,159.82,0
1526,19.0,11.0,3,Laptop & Accessory,4,Married,2,1,2.0,150.21,0
876,7.0,21.0,4,Mobile Phone,4,Married,3,0,7.0,152.56,0
1996,17.0,14.0,4,Fashion,5,Divorced,10,0,,224.85,0
273,4.0,9.0,5,Mobile Phone,5,Single,2,0,8.0,174.68,0
649,12.0,7.0,4,Mobile Phone,5,Single,5,0,1.0,151.19,0
1075,14.0,16.0,5,Laptop & Accessory,4,Single,2,0,9.0,161.51,0
291,19.0,9.0,1,Grocery,5,Married,3,0,8.0,232.25,0
1411,0.0,14.0,3,Fashion,3,Single,2,0,7.0,187.26,0
2754,1.0,33.0,5,Laptop & Accessory,5,Married,1,0,0.0,0.0,0
